Year,International Name,PAGASA Name
1963,Rose,Bebeng
1963,Agnes,Ising
1963,Trix,Diding
1963,Faye,Neneng
1963,Carmen,Luding
1963,Phyllis,Sisang
1963,Rita,Trining
1964,Marge,Liling
1964,Elsie,Lusing
1964,Louise,Ining
1964,Georgia,Grasing
1964,Ida,Seniang
1964,Winnie,Dading
1964,Cora,Huaning
1964,Billie,Kayang
1964,Ruby,Yoning
1964,Clara,Dorang
1964,Nora,Moning
1964,Opal,Naning
1964,Dot,Enang
1964,Sally,Aring
1970,Joan,Sening
1970,Patsy,Yoling
1970,Kate,Titang
1984,Ike,Nitang
1984,Warren,Reming
1984,Agnes,Undang
1984,June,Maring
1985,Elang,Elang
1985,Dot,Saling
1985,Faye,Tasing
1985,Irma,Daling
1985,Hal,Kuring
1985,Tess,Miling
1986,Georgia,Ruping
1986,Peggy,Gading
1986,Ida,Uding
1986,Herbert,Tering
1986,Wayne,Miding
1986,Ellen,Pasing
1986,Oyang,Oyang
1987,Thelma,Katring
1987,Rosing,Rosing
1987,Phyllis,Trining
1987,Cary,Ising
1987,Gerald,Neneng
1987,Lynn,Pepang
1987,Betty,Herming
1987,Nina,Sisang
1988,Warren,Huaning
1988,Vanessa,Edeng
1988,Val,Apiang
1988,Skip,Yoning
1988,Pat,Toyang
1988,Susan,Biring
1988,Roy,Asiang
1988,Tess,Welpring
1988,Ruby,Unsang
1988,Kit,Maring
1989,Dan,Saling
1989,Elsie,Tasing
1989,Angela,Rubing
1989,Brenda,Bining
1989,Faye,Elang
1989,Hunt,Unsing
1989,Sarah,Openg
1989,Gordon,Goring
1989,Dot,Kuring
1990,Becky,Heling
1990,Dot,Loleng
1990,Abe,Iliang
1990,Ed,Miding
1990,Yancy,Gading
1990,Percy,Klaring
1990,Ofelia,Bising
1990,Mike,Ruping
1991,Amy,Gening
1991,Seth,Warling
1991,Wilda,Yayang
1991,Thelma,Uring
1991,Yunya,Diding
1991,Sharon,Auring
1991,Brendan,Helming
1991,Ruth,Trining
1991,Bebeng,Bebeng
1992,Ditang,Ditang
1992,Colleen,Paring
1992,Ted,Maring
1992,Eli,Konsing
1993,Koryn,Goring
1993,Elang,Elang
1993,Lewis,Huling
1993,Bining,Bining
1993,Becky,Yeyeng
1993,Flo,Kadiang
1993,Atring,Atring
1993,Lola,Monang
1993,Manny,Naning
1993,Tasha,Rubing
1993,Winona,Saling
1993,Kyle,Luring
1993,Ira,Husing
1993,Nell,Puring
1994,Teresa,Katring
1994,Owen,Bising
1994,Akang,Akang
1994,Luke,Weling
1994,Gading,Gading
1994,Deling,Deling
1994,Vanessa,Loleng
1994,Tim,Iliang
1994,Axel,Garding
1994,Yunya,Norming
1995,Sibyl,Mameng
1995,Kent,Gening
1995,Sendang,Sendang
1995,Nina,Helming
1995,Yvette,Oniang
1995,Helen,Karing
1995,Deanna,Auring
1995,Angela,Rosing
1995,Zack,Pepang
1995,Ryan,Luding
1996,Ann,Biring
1996,Reming,Reming
1996,Beth,Seniang
1996,Asiang,Asiang
1996,Sally,Maring
1996,Cam,Ditang
1996,Ernie,Toyang
1996,Gloria,Gloring
1996,Niki,Lusing
1997,Amber,Miling
1997,Ivan,Narsing
1997,Mort,Pining
1997,Bining,Bining
1998,Faith,Norming
1998,Otto,Bising
1998,Vicki,Gading
1998,Babs,Loleng
1998,Penny,Klaring
1998,Zeb,Iliang
1999,Wendy,Mameng
1999,Dan,Pepang
1999,Frankie,Sendang
1999,Kate,Diding
1999,Karing,Karing
1999,Neneng,Neneng
1999,Maggie,Etang
1999,Sam,Luding
2000,Bopha,Ningning
2000,Bebinca,Seniang
2000,Kai-tak,Edeng
2000,,Gloring
2000,,Konsing
2000,Bilis,Isang
2000,,Huaning
2000,Xangsane,Reming
2000,,Ulpiang
2000,Rumbia,Toyang
2001,,Auring
2001,Lekima,Labuyo
2001,Kajiki,Quedan
2001,Toraji,Isang
2001,Trami,Gorio
2001,Lingling,Nanang
2001,Chebi,Emong
2001,Cimaron,Crising
2001,Utor,Feria
2002,,Juan
2002,Nakri,Hambalos
2002,,Milenyo
2002,Rammasun,Florita
2002,Halong,Inday
2002,,Caloy
2002,Tapah,Agaton
2003,Soudelor,Egay
2003,Krovanh,Niña
2003,Dujuan,Onyok
2003,Imbudo,Harurot
2003,Melor,Viring
2003,Nepartak,Weng
2003,,Zigzag
2003,,Ursula
2003,Morakot,Juaning
2003,Nangka,Dodong
2003,Kujira,Amang
2003,Linfa,Chedeng
2003,Koni,Gilas
2004,Chanthu,Gener
2004,Mindulle,Igme
2004,Nida,Dindo
2004,Conson,Frank
2004,Muifa,Unding
2004,Nanmadol,Yoyong
2004,Kompasu,Julian
2004,,Pablo
2004,,Winnie
2004,Merbok,Violeta
2005,Roke,Auring
2005,,Crising
2005,Damrey,Labuyo
2005,Tembin,Ondoy
2005,,Emong
2005,Sanvu,Huaning
2005,Bolaven,Pepeng
2006,Bilis,Florita
2006,Chanchu,Caloy
2006,,Agaton
2006,Durian,Reming
2006,Utor,Seniang
2006,Kaemi,Glenda
2006,Prapiroon,Henry
2006,Bopha,Inday
2006,Xangsane,Milenyo
2006,Cimaron,
2006,Chebi,Queenie
2007,Hagibis,Lando
2007,Mitag,Mina
2007,Pabuk,Chedeng
2007,Wutip,Dodong
2007,Sepat,Egay
2007,Wipha,Goring
2007,,Hanna
2007,Peipah,Kabayan
2008,,Julian
2008,Kalmaegi,Helen
2008,Nuri,Karen
2008,,Lawin
2008,,Rolly
2008,,Siony
2008,Maysak,Quinta
2008,Hagupit,Nina
2008,Sinlaku,Marce
2008,Higos,Pablo
2008,Neoguri,Ambo
2008,Rammasun,Butchoy
2008,Halong,Cosme
2008,Fengshen,Frank
2008,,Gener
2008,Fung-wong,Igme
2009,Ketsana,Ondoy
2009,Koppu,Nando
2009,,Maring
2009,Morakot,Kiko
2009,,Jolina
2009,Molave,Isang
2009,,Gorio
2009,Nangka,Feria
2009,Chan-hom,Emong
2009,Kujira,Dante
2009,,Crising
2009,,Bising
2009,,Auring
2009,Parma,Pepeng
2009,Mirinae,Santi
2009,,Urduja
2010,Megi,Juan
2010,,Caloy
2010,Domeng,
2010,Conson,Basyang
2011,Washi,Sendong
2011,Nesat,Pedring
2011,Songda,Chedeng
2011,,Lando
